                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0299,                 3.3886,                 3.3982,                0.05543,                0.34436,                0.03585,                0.01274,                 2.2716,                  9.772,                 2.7806,              0.0006649,              0.0006649,              0.0006649
                      2,                 2.2165,                 2.5617,                 2.5214,                0.03946,                 0.4144,                0.02919,                0.01226,                 2.0321,                 10.849,                 2.4765,              0.0012876,              0.0012876,              0.0012876
                      3,                 2.0581,                 2.3584,                 2.3491,                0.43485,                0.35214,                0.31423,                0.11832,                 1.9984,                 2.6218,                 2.3932,              0.0018663,              0.0018663,              0.0018663
                      4,                 1.9824,                 2.2686,                 2.2672,                0.44664,                0.40044,                0.38177,                0.16357,                 1.8298,                 3.1476,                 2.2243,               0.001802,               0.001802,               0.001802
                      5,                 1.9327,                 2.1607,                 2.2037,                0.51573,                0.47446,                0.44968,                0.21122,                 1.8277,                  2.465,                 2.1764,               0.001736,               0.001736,               0.001736
                      6,                 1.8854,                 2.0991,                 2.1576,                0.57228,                0.46075,                0.49568,                0.23692,                 1.7432,                 2.2046,                  2.144,                0.00167,                0.00167,                0.00167
                      7,                 1.8609,                 2.0407,                 2.1372,                0.61276,                0.47717,                0.52919,                 0.2573,                 1.7579,                 2.1032,                 2.1531,               0.001604,               0.001604,               0.001604
                      8,                 1.8182,                 1.9991,                 2.1012,                0.57774,                0.48444,                0.52519,                0.26345,                 1.7376,                 1.9375,                 2.1376,               0.001538,               0.001538,               0.001538
                      9,                 1.8062,                 1.9484,                 2.0877,                0.54077,                 0.5214,                0.53535,                0.26104,                 1.8137,                 1.8688,                 2.1748,               0.001472,               0.001472,               0.001472
                     10,                 1.7793,                 1.9012,                 2.0622,                 0.1671,                0.61866,                 0.1496,                0.07613,                 1.7066,                 3.9239,                 2.0793,               0.001406,               0.001406,               0.001406
                     11,                 1.7706,                 1.8718,                 2.0511,                0.63268,                0.53891,                 0.5428,                0.27834,                 1.6904,                 1.7596,                 2.0567,                0.00134,                0.00134,                0.00134
                     12,                 1.7475,                 1.8453,                  2.034,                0.64392,                 0.5805,                0.64811,                0.33757,                  1.684,                 1.6854,                 2.0541,               0.001274,               0.001274,               0.001274
                     13,                  1.732,                 1.8313,                  2.015,                0.14728,                0.65564,                0.13349,                0.07063,                  1.657,                  5.776,                 2.0312,               0.001208,               0.001208,               0.001208
                     14,                 1.7123,                 1.7986,                 2.0085,                0.14466,                 0.6965,                0.13073,                0.06817,                 1.6668,                 5.8843,                 2.0441,               0.001142,               0.001142,               0.001142
                     15,                 1.7102,                 1.7534,                 1.9999,                0.63804,                0.61044,                0.61819,                0.31964,                 1.6993,                 1.5408,                 2.0645,               0.001076,               0.001076,               0.001076
                     16,                 1.6913,                 1.7337,                 1.9814,                0.35851,                0.65673,                0.32629,                0.16769,                 1.6813,                 2.0208,                 2.0472,                0.00101,                0.00101,                0.00101
                     17,                  1.692,                 1.7277,                 1.9885,                0.67417,                0.64591,                0.68549,                0.36672,                 1.6688,                 1.4668,                  2.028,               0.000944,               0.000944,               0.000944
                     18,                 1.6714,                 1.6802,                 1.9638,                0.70151,                0.59728,                0.63897,                0.33852,                 1.6635,                 1.4824,                 2.0076,               0.000878,               0.000878,               0.000878
                     19,                  1.648,                 1.6502,                 1.9445,                0.58258,                0.67121,                0.55745,                0.29881,                 1.6155,                 1.4801,                 1.9821,               0.000812,               0.000812,               0.000812
                     20,                 1.6424,                 1.6437,                 1.9477,                0.71249,                0.68872,                0.73697,                0.41068,                 1.6126,                 1.3463,                 1.9684,               0.000746,               0.000746,               0.000746
                     21,                 1.5546,                 1.3441,                 1.9116,                0.73419,                0.67171,                 0.7467,                 0.4273,                 1.5521,                 1.2948,                  1.934,                0.00068,                0.00068,                0.00068
                     22,                 1.5333,                 1.2847,                 1.8958,                0.66661,                 0.7041,                0.66093,                0.36643,                 1.5918,                 1.3043,                 1.9563,               0.000614,               0.000614,               0.000614
                     23,                 1.4904,                 1.2375,                 1.8605,                0.28794,                0.75097,                 0.2663,                0.14821,                 1.5363,                 2.4837,                 1.9034,               0.000548,               0.000548,               0.000548
                     24,                 1.4722,                 1.1934,                 1.8481,                0.73704,                0.72957,                 0.7745,                0.45469,                 1.5332,                 1.1649,                 1.9025,               0.000482,               0.000482,               0.000482
                     25,                 1.4661,                 1.1497,                 1.8458,                0.50345,                0.75351,                0.49784,                0.28566,                 1.5394,                 1.3625,                 1.8943,               0.000416,               0.000416,               0.000416
                     26,                 1.4495,                 1.1419,                 1.8264,                0.70485,                0.77591,                0.74979,                 0.4388,                 1.5121,                 1.1361,                 1.8682,                0.00035,                0.00035,                0.00035
                     27,                 1.4268,                 1.1074,                 1.7979,                0.64803,                0.73735,                 0.6306,                0.36544,                 1.4986,                   1.25,                 1.8643,               0.000284,               0.000284,               0.000284
                     28,                 1.4207,                 1.0954,                 1.7906,                0.49576,                0.77626,                0.48743,                0.28602,                 1.4768,                 1.3531,                 1.8429,               0.000218,               0.000218,               0.000218
                     29,                 1.4046,                 1.0688,                 1.7792,                0.62925,                0.73965,                0.62641,                0.37095,                 1.4803,                 1.1892,                 1.8368,               0.000152,               0.000152,               0.000152
                     30,                 1.3922,                 1.0278,                 1.7646,                0.63849,                0.76265,                0.65903,                0.38814,                 1.4698,                 1.1562,                 1.8212,                8.6e-05,                8.6e-05,                8.6e-05
